Film,Year,IMDB LINK,Location Display Text,GEO_ID
The Late Show with David Letterman,1993-?,http://www.imdb.com/title/tt0106053/,Ed Sullivan Theatre 1697 Broadway Manhattan,187
The Lost Weekend,1945,http://imdb.com/title/tt0037884/,Third Ave. from E. 55th to 110th St. Upper East Side to E. Harlem Manhattan,188
The Naked City,1948,http://imdb.com/title/tt0040636/,Williamsburg Bridge Brooklyn,189
The Night They Raided Minsky's ,1968,http://www.imdb.com/title/tt0063348/,"E. 26th St. near Second Ave. Manhattan
",190
The Out-of-Towners,1970,http://www.imdb.com/title/tt0066193/,Central Park Manhattan,191
The Panic in Needle Park,1971,http://www.imdb.com/title/tt0067549/,W. 72nd St. and Broadway Upper West Side Manhattan,192
The Pawnbroker,1965,http://imdb.com/title/tt0059575/,Park Ave. and E. 116th St. Harlem Manhattan,193
The Pickle ,1993,http://www.imdb.com/title/tt0107824/,Brighton Beach Boardwalk Brooklyn,194
The Pick-Up Artist,1984,http://www.imdb.com/title/tt0093737/,Columbus Ave. near W. 75th St. Upper West Side Manhattan,195
The Prisoner of Second Avenue,1975,http://www.imdb.com/title/tt0072034/,Second Ave. and E. 87th St. Upper East Side Manhattan,196
The Producers,1968,http://www.imdb.com/title/tt0063462/,East 80's Upper East Side Manhattan,197
The Producers,1968,http://www.imdb.com/title/tt0063462/,Lincoln Center Plaza Upper West Side Manhattan,198
The Producers,2005,http://www.imdb.com/title/tt0395251/,Lincoln Center Plaza Upper West Side Manhattan,199
The Professional,1994,http://imdb.com/title/tt0110413/,Manhattan,200
The Royal Tenenbaums,2001,http://www.imdb.com/title/tt0265666/,Convent Ave. and 144th St. Hamilton Heights Manhattan,201
The Seven Year Itch,1955,http://imdb.com/title/tt0048605/,Lexington Ave. between 51st St. and 52nd St. Midtown Manhattan,202
The Siege,1998,http://www.imdb.com/title/tt0133952/,Greenpoint Brooklyn,203
The Sopranos,1999-2007,http://www.imdb.com/title/tt0141842/,"Empire Stores Park Brooklyn Bridge
",204
The Squid and the Whale,2005,http://www.imdb.com/title/tt0367089/,Museum of Natural History W. 79th St. and Central Park West Manhattan,205
The Taking of Pelham One Two Three,1974,http://www.imdb.com/title/tt0072251/,Subway near Court St. Brooklyn,206
The Warriors,1979,http://www.imdb.com/title/tt0080120/,Astroland Coney Island  Brooklyn,207
The Warriors,1979,http://www.imdb.com/title/tt0080120/,Subway Car Coney Island Brooklyn,208
